Date,Open,High,Low,Close,Volume,QuoteVolume
"06/09/2021, 17:25:00",3934.96000000,3940.00000000,3932.04000000,3937.92000000,1752.98150000,6904375.21044200
"06/09/2021, 17:30:00",3937.92000000,3941.00000000,3937.27000000,3938.08000000,1618.99030000,6378362.05191900
"06/09/2021, 17:35:00",3938.08000000,3943.98000000,3937.80000000,3939.16000000,1098.50480000,4328593.87441700
"06/09/2021, 17:40:00",3939.16000000,3943.31000000,3929.87000000,3933.56000000,1151.39320000,4531605.76167400
"06/09/2021, 17:45:00",3933.55000000,3937.16000000,3930.00000000,3931.31000000,625.47230000,2460152.47462400
"06/09/2021, 17:50:00",3930.58000000,3932.00000000,3925.44000000,3927.49000000,742.74170000,2917775.04263700
"06/09/2021, 17:55:00",3927.49000000,3927.99000000,3920.35000000,3926.20000000,679.10240000,2664976.10257800
"06/09/2021, 18:00:00",3926.19000000,3931.52000000,3925.31000000,3930.38000000,621.88770000,2442982.72149700
"06/09/2021, 18:05:00",3930.37000000,3938.19000000,3929.31000000,3938.18000000,595.84540000,2344263.00070300
"06/09/2021, 18:10:00",3938.18000000,3940.61000000,3935.86000000,3936.41000000,558.61710000,2200082.77744600
"06/09/2021, 18:15:00",3936.51000000,3939.00000000,3932.37000000,3933.16000000,727.50540000,2862961.98840700
"06/09/2021, 18:20:00",3933.16000000,3935.80000000,3930.10000000,3935.26000000,419.92930000,1651702.27883800
"06/09/2021, 18:25:00",3935.25000000,3940.00000000,3934.81000000,3936.12000000,932.21050000,3672260.41706700
"06/09/2021, 18:30:00",3936.11000000,3938.99000000,3934.09000000,3937.78000000,444.80690000,1750932.92118500
"06/09/2021, 18:35:00",3937.79000000,3939.92000000,3932.50000000,3935.65000000,446.61520000,1757920.89521800
"06/09/2021, 18:40:00",3935.64000000,3935.64000000,3931.64000000,3933.35000000,369.54310000,1453645.36113800
"06/09/2021, 18:45:00",3933.35000000,3933.54000000,3925.86000000,3926.51000000,603.39770000,2371215.41549600
"06/09/2021, 18:50:00",3926.50000000,3934.87000000,3924.41000000,3934.46000000,923.72950000,3628237.62337900
"06/09/2021, 18:55:00",3934.46000000,3935.98000000,3930.26000000,3932.84000000,657.82760000,2587423.82258400
"06/09/2021, 19:00:00",3932.83000000,3934.87000000,3924.88000000,3930.98000000,669.09110000,2629230.35845300
"06/09/2021, 19:05:00",3930.99000000,3934.87000000,3927.78000000,3934.86000000,727.82200000,2860964.98282400
"06/09/2021, 19:10:00",3934.86000000,3938.50000000,3933.16000000,3933.42000000,601.48160000,2366992.85208000
"06/09/2021, 19:15:00",3933.41000000,3934.35000000,3928.81000000,3930.00000000,478.83000000,1882281.54281500
"06/09/2021, 19:20:00",3929.99000000,3931.93000000,3926.25000000,3927.09000000,550.87290000,2164430.01044300
"06/09/2021, 19:25:00",3927.10000000,3934.33000000,3927.00000000,3934.32000000,430.71960000,1692382.00814400
"06/09/2021, 19:30:00",3934.33000000,3934.85000000,3931.54000000,3934.80000000,429.01320000,1687619.19428300
"06/09/2021, 19:35:00",3934.80000000,3940.00000000,3934.52000000,3936.59000000,1712.11520000,6743885.90870700
"06/09/2021, 19:40:00",3936.88000000,3939.71000000,3936.20000000,3937.88000000,602.45670000,2372802.84885000
"06/09/2021, 19:45:00",3937.87000000,3939.97000000,3936.44000000,3939.96000000,596.66880000,2349974.55454300
"06/09/2021, 19:50:00",3939.95000000,3940.00000000,3934.38000000,3934.86000000,989.00970000,3894931.08178800
"06/09/2021, 19:55:00",3934.87000000,3949.84000000,3934.78000000,3947.47000000,2555.48690000,10081052.77257700
"06/09/2021, 20:00:00",3947.48000000,3949.84000000,3943.64000000,3943.64000000,931.89520000,3678422.48014700
"06/09/2021, 20:05:00",3943.65000000,3953.92000000,3943.64000000,3951.78000000,1791.06360000,7074908.58704700
"06/09/2021, 20:10:00",3951.75000000,3959.76000000,3951.61000000,3956.69000000,2889.18750000,11430785.86981100
"06/09/2021, 20:15:00",3956.77000000,3957.85000000,3950.10000000,3950.12000000,1270.16940000,5021274.12701400
"06/09/2021, 20:20:00",3950.12000000,3955.00000000,3949.70000000,3955.00000000,874.89170000,3457358.37354600
"06/09/2021, 20:25:00",3954.99000000,3959.00000000,3953.09000000,3956.10000000,1531.54520000,6058354.71617100
"06/09/2021, 20:30:00",3956.10000000,3959.00000000,3939.26000000,3939.28000000,1592.26790000,6291163.17525200
"06/09/2021, 20:35:00",3939.28000000,3945.78000000,3937.23000000,3942.96000000,2262.81700000,8921460.44101100
"06/09/2021, 20:40:00",3943.34000000,3946.68000000,3939.01000000,3942.67000000,745.44000000,2939036.58264800
"06/09/2021, 20:45:00",3942.68000000,3944.73000000,3939.00000000,3943.81000000,487.84850000,1923313.11990300
"06/09/2021, 20:50:00",3943.81000000,3945.56000000,3941.02000000,3943.75000000,663.66290000,2617004.10211200
"06/09/2021, 20:55:00",3943.93000000,3943.98000000,3937.80000000,3937.80000000,530.58720000,2090746.12530800
"06/09/2021, 21:00:00",3937.80000000,3948.00000000,3937.33000000,3940.01000000,805.91040000,3178011.94327700
"06/09/2021, 21:05:00",3940.02000000,3940.02000000,3931.80000000,3932.86000000,1653.06180000,6505356.34468200
"06/09/2021, 21:10:00",3932.87000000,3934.17000000,3928.11000000,3931.85000000,1175.61510000,4620649.42098400
"06/09/2021, 21:15:00",3932.12000000,3937.01000000,3926.00000000,3934.17000000,1048.59130000,4123461.09688600
"06/09/2021, 21:20:00",3933.90000000,3938.13000000,3930.18000000,3934.31000000,744.26000000,2927745.91615000
"06/09/2021, 21:25:00",3934.31000000,3934.72000000,3931.99000000,3931.99000000,432.92350000,1702887.71074200
"06/09/2021, 21:30:00",3931.99000000,3936.27000000,3931.18000000,3932.31000000,680.67670000,2676840.51318500
"06/09/2021, 21:35:00",3932.31000000,3945.92000000,3932.31000000,3938.73000000,1231.71870000,4853645.99873000
"06/09/2021, 21:40:00",3938.72000000,3943.92000000,3938.72000000,3941.85000000,624.76450000,2462470.73162200
"06/09/2021, 21:45:00",3941.84000000,3942.96000000,3938.28000000,3940.63000000,516.63550000,2036013.49459000
"06/09/2021, 21:50:00",3940.63000000,3952.00000000,3940.56000000,3947.79000000,1493.02040000,5893701.32514300
"06/09/2021, 21:55:00",3947.78000000,3952.25000000,3946.02000000,3951.73000000,613.29390000,2421629.19602100
"06/09/2021, 22:00:00",3951.73000000,3953.00000000,3945.00000000,3946.90000000,947.89360000,3743048.56902000
"06/09/2021, 22:05:00",3946.89000000,3948.44000000,3941.61000000,3944.80000000,695.60640000,2744220.22371300
"06/09/2021, 22:10:00",3944.93000000,3945.00000000,3942.15000000,3944.41000000,434.61510000,1713978.66061900
"06/09/2021, 22:15:00",3944.40000000,3946.82000000,3940.72000000,3940.98000000,368.27180000,1452913.11505700
"06/09/2021, 22:20:00",3940.99000000,3943.07000000,3939.90000000,3941.56000000,377.02910000,1486014.52226800
"06/09/2021, 22:25:00",3941.57000000,3942.92000000,3938.81000000,3940.82000000,491.35250000,1936204.87207700
"06/09/2021, 22:30:00",3940.82000000,3950.00000000,3940.82000000,3949.10000000,895.07370000,3531420.20609400
"06/09/2021, 22:35:00",3949.05000000,3954.00000000,3948.25000000,3954.00000000,1240.71430000,4903737.24127300
"06/09/2021, 22:40:00",3953.99000000,3958.00000000,3952.70000000,3955.02000000,1988.79400000,7865948.84460800
"06/09/2021, 22:45:00",3955.01000000,3964.25000000,3953.59000000,3963.57000000,2525.94880000,10003706.75796200
"06/09/2021, 22:50:00",3963.56000000,3963.57000000,3956.18000000,3958.50000000,1325.52600000,5248552.80394800
"06/09/2021, 22:55:00",3958.49000000,3959.74000000,3950.84000000,3953.33000000,1159.27510000,4585717.77681400
"06/09/2021, 23:00:00",3953.32000000,3969.00000000,3953.32000000,3954.78000000,2535.32400000,10045550.53489900
"06/09/2021, 23:05:00",3954.78000000,3960.95000000,3950.80000000,3955.94000000,1530.50880000,6053688.31174300
"06/09/2021, 23:10:00",3956.04000000,3958.12000000,3940.55000000,3946.62000000,1802.54280000,7116920.99255900
"06/09/2021, 23:15:00",3946.63000000,3953.95000000,3944.26000000,3945.83000000,1464.32620000,5783083.50606800
"06/09/2021, 23:20:00",3946.12000000,3952.72000000,3943.79000000,3951.75000000,1014.91850000,4008311.20912200
"06/09/2021, 23:25:00",3951.75000000,3954.29000000,3946.04000000,3948.17000000,1795.24960000,7090645.80610500
"06/09/2021, 23:30:00",3948.18000000,3949.00000000,3941.54000000,3941.68000000,2129.91370000,8407264.96380600
"06/09/2021, 23:35:00",3941.68000000,3942.75000000,3936.20000000,3939.91000000,1449.03170000,5707824.36229800
"06/09/2021, 23:40:00",3939.92000000,3941.55000000,3934.12000000,3940.25000000,1057.54560000,4164581.70923300
"06/09/2021, 23:45:00",3940.54000000,3942.56000000,3933.37000000,3938.43000000,1052.80790000,4145507.46480300
"06/09/2021, 23:50:00",3938.43000000,3942.68000000,3937.00000000,3940.02000000,624.87170000,2461641.12713400
"06/09/2021, 23:55:00",3940.04000000,3942.19000000,3935.15000000,3939.98000000,571.22910000,2250121.32831200
"07/09/2021, 00:00:00",3939.99000000,3944.56000000,3927.28000000,3927.45000000,2210.47420000,8701774.59605800
"07/09/2021, 00:05:00",3927.46000000,3929.95000000,3920.10000000,3927.83000000,1323.32680000,5194163.69741400
"07/09/2021, 00:10:00",3927.83000000,3929.84000000,3920.13000000,3929.27000000,1538.85640000,6039843.10347300
"07/09/2021, 00:15:00",3929.27000000,3930.49000000,3923.64000000,3926.91000000,568.65140000,2232874.30396300
"07/09/2021, 00:20:00",3926.99000000,3930.78000000,3923.76000000,3923.98000000,772.41070000,3033534.12357200
"07/09/2021, 00:25:00",3923.98000000,3926.44000000,3919.00000000,3921.49000000,1374.35950000,5391212.81762900
"07/09/2021, 00:30:00",3921.24000000,3929.51000000,3919.00000000,3921.85000000,1665.10770000,6532524.02733400
"07/09/2021, 00:35:00",3922.55000000,3925.47000000,3920.69000000,3923.32000000,728.49210000,2858105.96792600
"07/09/2021, 00:40:00",3923.32000000,3933.06000000,3922.50000000,3923.56000000,743.65990000,2919379.77023700
"07/09/2021, 00:45:00",3923.79000000,3934.00000000,3922.50000000,3928.70000000,754.47050000,2964049.76393300
"07/09/2021, 00:50:00",3928.69000000,3932.94000000,3928.32000000,3929.34000000,588.80100000,2314403.61898600
"07/09/2021, 00:55:00",3929.35000000,3933.00000000,3926.38000000,3926.77000000,750.78060000,2950446.08241100
"07/09/2021, 01:00:00",3926.67000000,3929.21000000,3913.00000000,3926.95000000,3230.67710000,12669044.79283300
"07/09/2021, 01:05:00",3926.96000000,3932.05000000,3925.58000000,3928.05000000,1063.32480000,4177760.50080400
"07/09/2021, 01:10:00",3928.06000000,3929.07000000,3918.98000000,3920.90000000,1086.15330000,4261220.50437800
"07/09/2021, 01:15:00",3920.91000000,3923.74000000,3912.69000000,3913.42000000,1083.89520000,4246869.80764800
